airline,airlineID,source airport,source airport id,destination apirport,destination airport id,codeshare,stops,equipment
2I,0001,AYP,2786,LIM,2789,,0,142
2I,0002,CUZ,2812,LIM,2789,,0,142 141
2I,0003,CUZ,2812,PEM,2808,,0,142
2I,0004,HUU,6067,LIM,2789,,0,141
2I,0005,IQT,2801,PCL,2781,,0,143
2I,0006,IQT,2801,TPP,2806,,0,142
2I,0007,LIM,2789,AYP,2786,,0,142
2I,0008,LIM,2789,CUZ,2812,,0,142 141
2I,0009,LIM,2789,HUU,6067,,0,141
2I,0010,LIM,2789,PCL,2781,,0,143 146
2I,0011,LIM,2789,TPP,2806,,0,142 146
2I,0012,PCL,2781,IQT,2801,,0,143
2I,0013,PCL,2781,LIM,2789,,0,143 146
2I,0014,PCL,2781,TPP,2806,,0,146
2I,0015,PEM,2808,CUZ,2812,,0,142
2I,0016,TPP,2806,IQT,2801,,0,142
2I,0017,TPP,2806,LIM,2789,,0,142 146
2I,0018,TPP,2806,PCL,2781,,0,146
2J,0001,ABJ,253,BOY,247,,0,CRJ
2J,0002,ABJ,253,OUA,246,,0,E70 CRJ M87
2J,0003,ACC,248,OUA,246,,0,CRJ
2J,0004,BKO,1044,ABJ,253,,0,M87
2J,0005,BKO,1044,DKR,1084,,0,M87
2J,0006,BKO,1044,OUA,246,,0,CRJ
2J,0007,BOY,247,ABJ,253,,0,CRJ
2J,0008,BOY,247,OUA,246,,0,CRJ
2J,0009,COO,245,LFW,298,,0,M87
2J,0010,COO,245,OUA,246,,0,M87
2J,0011,DKR,1084,BKO,1044,,0,M87
2J,0012,DKR,1084,OUA,246,,0,M87
2J,0013,LFW,298,OUA,246,,0,M87 CRJ
2J,0014,NIM,280,OUA,246,,0,CRJ
2J,0015,OUA,246,ABJ,253,,0,E70 CRJ M87
2J,0016,OUA,246,ACC,248,,0,CRJ
2J,0017,OUA,246,BKO,1044,,0,M87 CRJ
2J,0018,OUA,246,BOY,247,,0,CRJ
2J,0019,OUA,246,COO,245,,0,M87
2J,0020,OUA,246,DKR,1084,,0,M87
2J,0021,OUA,246,LFW,298,,0,CRJ
2J,0022,OUA,246,NIM,280,,0,CRJ
2K,0001,BOG,2709,GYE,2673,,0,319
2K,0002,BOG,2709,UIO,2688,,0,319 320
2K,0003,CLO,2715,GYE,2673,,0,319
2K,0004,GYE,2673,BOG,2709,,0,319
2K,0005,GYE,2673,CLO,2715,,0,319
2K,0006,GYE,2673,SCY,6045,,0,319 320
2K,0007,GYE,2673,UIO,2688,,0,320 319
2K,0008,OCC,2670,UIO,2688,,0,319
2K,0009,SCY,6045,GYE,2673,,0,319 320
2K,0010,UIO,2688,BOG,2709,,0,319 320
2K,0011,UIO,2688,GYE,2673,,0,319
2K,0012,UIO,2688,OCC,2670,,0,319
2L,0001,BDS,1506,ZRH,1678,,0,100
2L,0002,BOD,1264,ZRH,1678,,0,100
2L,0003,BRS,490,ZRH,1678,,0,100
2L,0004,GVA,1665,LPA,1054,,0,319
2L,0005,LCA,1197,ZRH,1678,,0,319
2L,0006,LPA,1054,ZRH,1678,,0,319
2L,0007,RMF,4197,ZRH,1678,,0,319
2L,0008,TFS,1056,GVA,1665,,0,319
2L,0009,ZRH,1678,BDS,1506,,0,100
2L,0010,ZRH,1678,BOD,1264,,0,100
2L,0011,ZRH,1678,BRS,490,,0,100
2L,0012,ZRH,1678,LCA,1197,,0,319
2L,0013,ZRH,1678,LPA,1054,,0,319
2L,0014,ZRH,1678,RMF,4197,,0,319
2N,0001,AJR,730,LYC,719,,0,ATP
2N,0002,ARN,737,GEV,715,,0,ATP
2N,0003,ARN,737,HAD,709,,0,SF3
2N,0004,ARN,737,JKG,688,,0,ATP SF3
2N,0005,ARN,737,KRF,718,,0,ATP
2N,0006,ARN,737,KSD,5595,,0,SF3
2N,0007,ARN,737,LYC,719,,0,ATP
2N,0008,ARN,737,MHQ,442,,0,SF3
2N,0009,ARN,737,OER,722,,0,ATR
2N,0010,ARN,737,POR,448,,0,SF3
2N,0011,ARN,737,TRF,664,,0,SF3
2N,0012,ARN,737,VBY,746,,0,SF3 ATP
2N,0013,ARN,737,VHM,729,,0,SF3
2N,0014,ARN,737,VXO,711,,0,SF3
2N,0015,GEV,715,ARN,737,,0,ATP
2N,0016,GEV,715,KRF,718,,0,ATP
2N,0017,HAD,709,ARN,737,,0,SF3 ATP
2N,0018,HAD,709,JKG,688,,0,ATP SF3
2N,0019,HAD,709,VXO,711,,0,SF3
2N,0020,HMV,5599,VHM,729,,0,SF3
2N,0021,JKG,688,ARN,737,,0,ATP SF3
2N,0022,JKG,688,HAD,709,,0,ATP SF3
2N,0023,KOK,435,POR,448,,0,SF3
2N,0024,KRF,718,ARN,737,,0,ATP
2N,0025,KRF,718,GEV,715,,0,ATP
2N,0026,KSD,5595,ARN,737,,0,SF3
2N,0027,LYC,719,AJR,730,,0,ATP
2N,0028,LYC,719,ARN,737,,0,ATP
2N,0029,MHQ,442,ARN,737,,0,SF3
2N,0030,MHQ,442,TKU,460,,0,SF3
2N,0031,OER,722,ARN,737,,0,ATR
2N,0032,OSL,644,VXO,711,,0,SF3
2N,0033,POR,448,ARN,737,,0,SF3
2N,0034,POR,448,KOK,435,,0,SF3
2N,0035,TKU,460,MHQ,442,,0,SF3
2N,0036,TRF,664,ARN,737,,0,SF3
2N,0037,VBY,746,ARN,737,,0,SF3 ATP
2N,0038,VHM,729,ARN,737,,0,SF3
2N,0039,VHM,729,HMV,5599,,0,SF3
2N,0040,VXO,711,ARN,737,,0,SF3
2N,0041,VXO,711,OSL,644,,0,SF3
2O,0001,ADQ,3531,AOS,7167,,0,BNI
2O,0002,ADQ,3531,KKB,7168,,0,BNI
2O,0003,ADQ,3531,KLN,7162,,0,BNI
2O,0004,ADQ,3531,KOZ,7164,,0,BNI
2O,0005,ADQ,3531,OLH,7163,,0,BNI
2O,0006,AOS,7167,KZB,7176,,0,BNI
2O,0007,KKB,7168,SYB,7173,,0,BNI
2O,0008,KLN,7162,KYK,7161,,0,BNI
2O,0009,KOZ,7164,ORI,7165,,0,BNI
2O,0010,SYB,7173,KPR,7172,,0,BNI
2P,0001,BSO,6019,MNL,2397,,0,DH4
2P,0002,BXU,4200,MNL,2397,,0,320
2P,0003,CBO,2399,MNL,2397,,0,320
2P,0004,CGY,2400,MNL,2397,,0,320
2P,0005,CRM,6024,MNL,2397,,0,DH4
2P,0006,DGT,2425,MNL,2397,,0,320
2P,0007,DWC,8076,MNL,2397,,0,330
2P,0008,GES,2402,MNL,2397,Y,0,320
2P,0009,KLO,2430,MNL,2397,,0,320
2P,0010,LGP,4203,MNL,2397,,0,320
2P,0011,MNL,2397,BSO,6019,,0,DH4
2P,0012,MNL,2397,BXU,4200,,0,320
2P,0013,MNL,2397,CBO,2399,,0,320
2P,0014,MNL,2397,CGY,2400,,0,320
2P,0015,MNL,2397,CRM,6024,,0,DH4
2P,0016,MNL,2397,DGT,2425,,0,320
2P,0017,MNL,2397,DWC,8076,,0,330
2P,0018,MNL,2397,GES,2402,Y,0,320
2P,0019,MNL,2397,KLO,2430,,0,320
2P,0020,MNL,2397,LGP,4203,,0,320
2P,0021,MNL,2397,MPH,2426,,0,DH3
2P,0022,MNL,2397,OZC,4204,,0,320
2P,0023,MNL,2397,PPS,2433,,0,320
2P,0024,MNL,2397,RXS,6026,,0,320
2P,0025,MNL,2397,SUG,6016,,0,DH4
2P,0026,MNL,2397,TUG,6021,,0,DH4
2P,0027,MNL,2397,ZAM,2404,,0,320
2P,0028,MPH,2426,MNL,2397,,0,DH3
2P,0029,OZC,4204,MNL,2397,,0,320
2P,0030,PPS,2433,MNL,2397,,0,320
2P,0031,RXS,6026,MNL,2397,,0,320
2P,0032,SUG,6016,MNL,2397,,0,DH4
2P,0033,TUG,6021,MNL,2397,,0,DH4
2P,0034,ZAM,2404,MNL,2397,,0,320
2Z,0001,AUX,7376,PMW,4214,,0,AT7
2Z,0002,BRA,7373,BSB,2531,,0,AT7
2Z,0003,BRA,7373,SSA,2621,,0,AT7
2Z,0004,BSB,2531,BRA,7373,,0,AT7
2Z,0005,BSB,2531,OPS,7367,,0,AT7
2Z,0006,BSB,2531,RAO,2613,,0,AT7
2Z,0007,CAC,2535,GRU,2564,,0,AT7
2Z,0008,CGB,2548,GYN,2562,,0,AT7
2Z,0009,CGB,2548,OPS,7367,,0,AT7
2Z,0010,CGR,2538,DOU,7380,,0,AT7
2Z,0011,DOU,7380,CGR,2538,,0,AT7
2Z,0012,DOU,7380,GRU,2564,,0,AT7
2Z,0013,GIG,2560,RAO,2613,,0,AT7
2Z,0014,GRU,2564,CAC,2535,,0,AT7
2Z,0015,GRU,2564,DOU,7380,,0,AT7
2Z,0016,GRU,2564,RAO,2613,,0,AT7
2Z,0017,GRU,2564,UBA,2635,,0,AT7
2Z,0018,GRU,2564,UDI,2633,,0,AT7
2Z,0019,GRU,2564,VDC,6039,,0,AT7
2Z,0020,GYN,2562,CGB,2548,,0,AT7
2Z,0021,GYN,2562,PMW,4214,,0,AT7
2Z,0022,GYN,2562,RAO,2613,,0,AT7
2Z,0023,GYN,2562,UDI,2633,,0,AT7
2Z,0024,OPS,7367,BSB,2531,,0,AT7
2Z,0025,OPS,7367,CGB,2548,,0,AT7
2Z,0026,PLU,2528,RAO,2613,,0,AT7
2Z,0027,PMW,4214,AUX,7376,,0,AT7
2Z,0028,PMW,4214,GYN,2562,,0,AT7
2Z,0029,RAO,2613,BSB,2531,,0,AT7
2Z,0030,RAO,2613,GIG,2560,,0,AT7
2Z,0031,RAO,2613,GRU,2564,,0,AT7
2Z,0032,RAO,2613,GYN,2562,,0,AT7
2Z,0033,RAO,2613,PLU,2528,,0,AT7
2Z,0034,RAO,2613,SJP,2619,,0,AT7
2Z,0035,RAO,2613,UDI,2633,,0,AT7
2Z,0036,SJP,2619,RAO,2613,,0,AT7
2Z,0037,SSA,2621,BRA,7373,,0,AT7
2Z,0038,SSA,2621,VDC,6039,,0,AT7
2Z,0039,UBA,2635,GRU,2564,,0,AT7
2Z,0040,UBA,2635,UDI,2633,,0,AT7
2Z,0041,UDI,2633,GRU,2564,,0,AT7
2Z,0042,UDI,2633,GYN,2562,,0,AT7
2Z,0043,UDI,2633,RAO,2613,,0,AT7
2Z,0044,UDI,2633,UBA,2635,,0,AT7
2Z,0045,VDC,6039,GRU,2564,,0,AT7
2Z,0046,VDC,6039,SSA,2621,,0,AT7
3E,0001,BRL,5726,ORD,3830,,0,CNC
3E,0002,BRL,5726,STL,3678,,0,CNC
3E,0003,DEC,4042,ORD,3830,,0,CNC
3E,0004,DEC,4042,STL,3678,,0,CNC
3E,0005,JBR,3591,STL,3678,,0,CNC
3E,0006,ORD,3830,BRL,5726,,0,CNC
3E,0007,ORD,3830,DEC,4042,,0,CNC
3E,0008,STL,3678,BRL,5726,,0,CNC
3E,0009,STL,3678,DEC,4042,,0,CNC
3E,0010,STL,3678,JBR,3591,,0,CNC
3F,0001,CGA,7144,HYL,7145,,0,DHP
3F,0002,CGA,7144,KTN,3808,,0,DHP
3F,0003,HYL,7145,CGA,7144,,0,DHP
3F,0004,HYL,7145,KTB,7147,,0,DHP
3F,0005,HYL,7145,KTN,3808,,0,DHP
3F,0006,KTB,7147,HYL,7145,,0,DHP
3F,0007,KTB,7147,KTN,3808,,0,DHP
3F,0008,KTN,3808,CGA,7144,,0,DHP
3F,0009,KTN,3808,HYL,7145,,0,DHP
3F,0010,KTN,3808,KTB,7147,,0,DHP
3F,0011,KTN,3808,MTM,7146,,0,DHP
3F,0012,MTM,7146,KTN,3808,,0,DHP
3G,0001,ACC,248,DKR,1084,,0,319
3G,0002,ACC,248,LOS,273,,0,319
3G,0003,ACC,248,ROB,1063,,0,319
3G,0004,BCN,1218,BJL,1050,,0,319
3G,0005,BJL,1050,BCN,1218,,0,319
3G,0006,BJL,1050,DKR,1084,,0,319
3G,0007,BJL,1050,FNA,1059,,0,319
3G,0008,CKY,4162,OXB,5665,,0,319
3G,0009,DKR,1084,ACC,248,,0,319
3G,0010,DKR,1084,BJL,1050,,0,319
3G,0011,DKR,1084,DLA,897,,0,319
3G,0012,DKR,1084,FNA,1059,,0,319
3G,0013,DKR,1084,LOS,273,,0,319
3G,0014,DKR,1084,OXB,5665,,0,319
3G,0015,DLA,897,DKR,1084,,0,319
3G,0016,DLA,897,LOS,273,,0,319
3G,0017,FNA,1059,BJL,1050,,0,319
3G,0018,FNA,1059,DKR,1084,,0,319
3G,0019,FNA,1059,LGW,502,,0,319
3G,0020,FNA,1059,ROB,1063,,0,319
3G,0021,LGW,502,FNA,1059,,0,319
3G,0022,LOS,273,ACC,248,,0,319
3G,0023,LOS,273,DKR,1084,,0,319
3G,0024,LOS,273,DLA,897,,0,319
3G,0025,LOS,273,ROB,1063,,0,319
3G,0026,OXB,5665,CKY,4162,,0,319
3G,0027,OXB,5665,DKR,1084,,0,319
3G,0028,ROB,1063,ACC,248,,0,319
3G,0029,ROB,1063,FNA,1059,,0,319
3G,0030,ROB,1063,LOS,273,,0,319
3H,0001,AKV,5506,YIK,5504,,0,DH8
3H,0002,AKV,5506,YPX,6727,,0,DH8
3H,0003,XGR,5512,YVP,154,,0,DHT BET
3H,0004,YGL,62,YGW,5496,,0,DHT
3H,0005,YGL,62,YPX,6727,,0,73M
3H,0006,YGL,62,YUL,146,,0,73M
3H,0007,YGW,5496,YGL,62,,0,DHT
3H,0008,YGW,5496,YPH,5520,,0,BET
3H,0009,YGW,5496,YSK,5529,,0,DH8
3H,0010,YGW,5496,YUD,5515,,0,DH8
3H,0011,YGW,5496,YUL,146,,0,DH8
3H,0012,YGW,5496,YUY,149,,0,DH8
3H,0013,YIK,5504,AKV,5506,,0,DH8
3H,0014,YIK,5504,YZG,5535,,0,DH8
3H,0015,YKG,5481,YPJ,5508,,0,DHT DH8
3H,0016,YKG,5481,YQC,5499,,0,DH8
3H,0017,YKG,5481,YVP,154,,0,DH8 DHT
3H,0018,YKL,80,YQB,111,,0,DH8
3H,0019,YKL,80,YVP,154,,0,DH8 BET
3H,0020,YKL,80,YWK,161,,0,BET
3H,0021,YKL,80,YZV,202,,0,BET DH8
3H,0022,YPH,5520,YPX,6727,,0,DH8 BET
3H,0023,YPH,5520,YUD,5515,,0,DH8
3H,0024,YPH,5520,YVP,154,,0,BET
3H,0025,YPJ,5508,YKG,5481,,0,DHT DH8
3H,0026,YPJ,5508,YTQ,6728,,0,DHT DH8
3H,0027,YPJ,5508,YVP,154,,0,DHT
3H,0028,YPX,6727,AKV,5506,,0,DH8
3H,0029,YPX,6727,YGL,62,,0,73M
3H,0030,YPX,6727,YPH,5520,,0,DH8
3H,0031,YPX,6727,YVP,154,,0,BET
3H,0032,YQB,111,YKL,80,,0,DH8
3H,0033,YQB,111,YUL,146,,0,DH8
3H,0034,YQC,5499,YKG,5481,,0,DH8
3H,0035,YQC,5499,YWB,7253,,0,DH8
3H,0036,YSK,5529,YGW,5496,,0,DH8
3H,0037,YSK,5529,YUD,5515,,0,DH8
3H,0038,YTQ,6728,YPJ,5508,,0,DHT DH8
3H,0039,YTQ,6728,YVP,154,,0,DHT DH8
3H,0040,YUD,5515,YGW,5496,,0,DH8
3H,0041,YUD,5515,YPH,5520,,0,DH8
3H,0042,YUD,5515,YSK,5529,,0,DH8
3H,0043,YUL,146,YGL,62,,0,73M
3H,0044,YUL,146,YGW,5496,,0,DH8
3H,0045,YUL,146,YQB,111,,0,DH8
3H,0046,YUL,146,YUY,149,,0,DH8
3H,0047,YUY,149,YGW,5496,,0,DH8
3H,0048,YUY,149,YUL,146,,0,DH8
3H,0049,YVP,154,XGR,5512,,0,DHT BET
3H,0050,YVP,154,YGW,5496,,0,BET
3H,0051,YVP,154,YKG,5481,,0,DH8
3H,0052,YVP,154,YKL,80,,0,DH8 BET
3H,0053,YVP,154,YPH,5520,,0,BET
3H,0054,YVP,154,YPJ,5508,,0,DHT
3H,0055,YVP,154,YPX,6727,,0,BET
3H,0056,YVP,154,YTQ,6728,,0,DHT DH8
3H,0057,YWB,7253,YQC,5499,,0,DH8
3H,0058,YWB,7253,YZG,5535,,0,DH8
3H,0059,YWK,161,YKL,80,,0,BET
3H,0060,YWK,161,YZV,202,,0,BET
3H,0061,YZG,5535,YIK,5504,,0,DH8
3H,0062,YZG,5535,YWB,7253,,0,DH8
3H,0063,YZV,202,YKL,80,,0,BET DH8
3H,0064,YZV,202,YWK,161,,0,BET
3J,0001,JIB,4119,DXB,2188,,0,737
3J,0002,JIB,4119,JED,2072,,0,737
3J,0003,JIB,4119,MGQ,5687,,0,737
3J,0004,MGQ,5687,NBO,4059,,0,737
3J,0005,NBO,4059,MGQ,5687,,0,737
3K,0001,BKK,3885,SIN,3316,,0,320
3K,0002,DRW,3999,SIN,3316,,0,320
3K,0003,HAK,4120,SIN,3316,,0,320
3K,0004,HGH,3386,SIN,3316,,0,320
3K,0005,HKG,3077,SIN,3316,,0,320
3K,0006,HKT,3179,SIN,3316,,0,320
3K,0007,KIX,3992,MNL,2397,,0,320
3K,0008,KIX,3992,TPE,2276,,0,320
3K,0009,KUL,3304,SIN,3316,,0,320
3K,0010,MNL,2397,KIX,3992,,0,320
3K,0011,MNL,2397,SIN,3316,,0,320
3K,0012,PEN,3308,SIN,3316,,0,320
3K,0013,PER,3351,SIN,3316,,0,320
3K,0014,PNH,3034,SIN,3316,,0,320
3K,0015,REP,3035,SIN,3316,,0,320
3K,0016,RGN,3239,SIN,3316,,0,320
3K,0017,SGN,3205,SIN,3316,,0,320
3K,0018,SIN,3316,BKK,3885,,0,320
3K,0019,SIN,3316,DRW,3999,,0,320
3K,0020,SIN,3316,HAK,4120,,0,320
3K,0021,SIN,3316,HGH,3386,,0,320
3K,0022,SIN,3316,HKG,3077,,0,320
3K,0023,SIN,3316,HKT,3179,,0,320
3K,0024,SIN,3316,KUL,3304,,0,320
3K,0025,SIN,3316,MNL,2397,,0,320
3K,0026,SIN,3316,PEN,3308,,0,320
3K,0027,SIN,3316,PER,3351,,0,320
3K,0028,SIN,3316,PNH,3034,,0,320
3K,0029,SIN,3316,REP,3035,,0,320
3K,0030,SIN,3316,RGN,3239,,0,320
3K,0031,SIN,3316,SGN,3205,,0,320
3K,0032,SIN,3316,SWA,4302,,0,320
3K,0033,SIN,3316,TPE,2276,,0,320
3K,0034,SWA,4302,SIN,3316,,0,320
3K,0035,TPE,2276,KIX,3992,,0,320
3K,0036,TPE,2276,SIN,3316,,0,320
3L,0001,ACH,1679,EBA,1558,,0,DH3
3L,0002,DRS,338,ZRH,1678,,0,DH3
3L,0003,DUS,345,FDH,382,,0,DH3
3L,0004,EBA,1558,ACH,1679,,0,DH3
3L,0005,EBA,1558,FDH,382,,0,DH3
3L,0006,EBA,1558,MUC,346,,0,DH3
3L,0007,EBA,1558,ZRH,1678,,0,DH3
3L,0008,FDH,382,DUS,345,,0,DH3
3L,0009,FDH,382,EBA,1558,,0,DH3
3L,0010,FDH,382,HAM,342,,0,AT7
3L,0011,FDH,382,OLB,1520,,0,AT7
3L,0012,FDH,382,TXL,351,,0,AT7
3L,0013,FDH,382,ZAD,1209,,0,AT7
3L,0014,FMM,3986,NAP,1561,,0,AT7
3L,0015,GRZ,1609,ZRH,1678,,0,DH3
3L,0016,HAM,342,FDH,382,,0,AT7
3L,0017,MUC,346,EBA,1558,,0,DH3
3L,0018,NAP,1561,FMM,3986,,0,AT7
3L,0019,OLB,1520,FDH,382,,0,AT7
3L,0020,SZG,1612,ZRH,1678,,0,DH3
3L,0021,TXL,351,FDH,382,,0,AT7
3L,0022,ZAD,1209,FDH,382,,0,AT7
3L,0023,ZRH,1678,DRS,338,,0,DH3
3L,0024,ZRH,1678,EBA,1558,,0,DH3
3L,0025,ZRH,1678,GRZ,1609,,0,DH3
3L,0026,ZRH,1678,SZG,1612,,0,DH3
3M,0001,ATL,3682,LWB,6958,,0,SF3
3M,0002,ATL,3682,MCN,3754,,0,SF3
3M,0003,ATL,3682,MEI,4335,,0,SF3
3M,0004,ATL,3682,MSL,5756,,0,SF3
3M,0005,ATL,3682,PIB,5759,,0,SF3
3M,0006,ATL,3682,TUP,5773,,0,SF3
3M,0007,BIM,1937,FLL,3533,,0,SF3
3M,0008,ELH,1943,FLL,3533,,0,SF3
3M,0009,ELH,1943,PBI,3722,,0,SF3
3M,0010,EYW,3875,FLL,3533,,0,SF3
3M,0011,EYW,3875,RSW,3793,,0,SF3
3M,0012,EYW,3875,TPA,3646,,0,SF3
3M,0013,FLL,3533,BIM,1937,,0,SF3
3M,0014,FLL,3533,ELH,1943,,0,SF3
3M,0015,FLL,3533,EYW,3875,,0,SF3
3M,0016,FLL,3533,FPO,1948,,0,SF3
3M,0017,FLL,3533,GGT,1941,,0,SF3
3M,0018,FLL,3533,GHB,1944,,0,SF3
3M,0019,FLL,3533,MCO,3878,,0,SF3
3M,0020,FLL,3533,MHH,1930,,0,SF3
3M,0021,FLL,3533,TCB,1934,,0,SF3
3M,0022,FLL,3533,TPA,3646,,0,SF3
3M,0023,FPO,1948,FLL,3533,,0,SF3
3M,0024,GGT,1941,FLL,3533,,0,SF3
3M,0025,GGT,1941,GHB,1944,,0,SF3
3M,0026,GHB,1944,FLL,3533,,0,SF3
3M,0027,GLH,6130,TUP,5773,,0,SF3
3M,0028,GNV,3472,MCO,3878,,0,SF3
3M,0029,GNV,3472,TPA,3646,,0,SF3
3M,0030,JAX,3712,MHH,1930,,0,SF3
3M,0031,JAX,3712,TPA,3646,,0,SF3
3M,0032,LWB,6958,ATL,3682,,0,SF3
3M,0033,MCN,3754,ATL,3682,,0,SF3
3M,0034,MCN,3754,MCO,3878,,0,SF3
3M,0035,MCO,3878,FLL,3533,,0,SF3
3M,0036,MCO,3878,GNV,3472,,0,SF3
3M,0037,MCO,3878,MCN,3754,,0,SF3
3M,0038,MCO,3878,MHH,1930,,0,SF3
3M,0039,MCO,3878,PNS,3564,,0,SF3
3M,0040,MCO,3878,RSW,3793,,0,SF3
3M,0041,MCO,3878,TLH,3698,,0,SF3
3M,0042,MEI,4335,ATL,3682,,0,SF3
3M,0043,MHH,1930,FLL,3533,,0,SF3
3M,0044,MHH,1930,JAX,3712,,0,SF3
3M,0045,MHH,1930,MCO,3878,,0,SF3
3M,0046,MHH,1930,PBI,3722,,0,SF3
3M,0047,MSL,5756,ATL,3682,,0,SF3
3M,0048,PBI,3722,ELH,1943,,0,SF3
3M,0049,PBI,3722,MHH,1930,,0,SF3
3M,0050,PBI,3722,TPA,3646,,0,SF3
3M,0051,PIB,5759,ATL,3682,,0,SF3
3M,0052,PNS,3564,MCO,3878,,0,SF3
3M,0053,PNS,3564,TPA,3646,,0,SF3
3M,0054,RSW,3793,EYW,3875,,0,SF3
3M,0055,RSW,3793,MCO,3878,,0,SF3
3M,0056,TCB,1934,FLL,3533,,0,SF3
3M,0057,TLH,3698,MCO,3878,,0,SF3
3M,0058,TLH,3698,TPA,3646,,0,SF3
3M,0059,TPA,3646,EYW,3875,,0,SF3
3M,0060,TPA,3646,FLL,3533,,0,SF3
3M,0061,TPA,3646,GNV,3472,,0,SF3
3M,0062,TPA,3646,JAX,3712,,0,SF3
3M,0063,TPA,3646,PBI,3722,,0,SF3
3M,0064,TPA,3646,PNS,3564,,0,SF3
3M,0065,TPA,3646,TLH,3698,,0,SF3
3M,0066,TUP,5773,ATL,3682,,0,SF3
3M,0067,TUP,5773,GLH,6130,,0,SF3
3O,0001,AMS,580,NDR,5673,,0,320
3O,0002,AMS,580,TNG,1080,,0,320
3O,0003,BCN,1218,CMN,1074,,0,320
3O,0004,BCN,1218,NDR,5673,,0,320
3O,0005,BCN,1218,TNG,1080,,0,320
3O,0006,BGY,1525,CMN,1074,,0,320
3O,0007,BLQ,1538,CMN,1074,,0,320
3O,0008,BRU,302,CMN,1074,,0,320
3O,0009,BRU,302,NDR,5673,,0,320
3O,0010,BRU,302,TNG,1080,,0,320
3O,0011,CGN,344,NDR,5673,,0,320
3O,0012,CMN,1074,BCN,1218,,0,320
3O,0013,CMN,1074,BGY,1525,,0,320
3O,0014,CMN,1074,BLQ,1538,,0,320
3O,0015,CMN,1074,BRU,302,,0,320
3O,0016,CMN,1074,CUF,1534,,0,320
3O,0017,CMN,1074,LGW,502,,0,320
3O,0018,CMN,1074,LYS,1335,,0,320
3O,0019,CMN,1074,MPL,1359,,0,320
